AnnoA;GruppoNOME;SESSO;Imm;note
2012/2013;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20471;
2012/2013;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3859;
2012/2013;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1638;
2011/2012;Educazione e Formazione                                                                                                                                                                                                                                   ;M;862;
2011/2012;Educazione e Formazione                                                                                                                                                                                                                                   ;F;10731;
2011/2012;Arte e Design                                                                                                                                                                                                                                             ;M;2457;
2011/2012;Arte e Design                                                                                                                                                                                                                                             ;F;6038;
2011/2012;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;3911;
2011/2012;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7112;
2011/2012;Linguistico                                                                                                                                                                                                                                               ;M;3390;
2011/2012;Linguistico                                                                                                                                                                                                                                               ;F;15006;
2011/2012;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;8787;
2011/2012;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;12811;
2011/2012;Psicologico                                                                                                                                                                                                                                               ;M;1743;
2011/2012;Psicologico                                                                                                                                                                                                                                               ;F;6503;
2011/2012;Economico                                                                                                                                                                                                                                                 ;M;21797;
2011/2012;Economico                                                                                                                                                                                                                                                 ;F;20563;
2011/2012;Giuridico                                                                                                                                                                                                                                                 ;M;11863;
2011/2012;Giuridico                                                                                                                                                                                                                                                 ;F;19097;
2011/2012;Scientifico                                                                                                                                                                                                                                               ;M;11921;
2011/2012;Scientifico                                                                                                                                                                                                                                               ;F;17720;
2011/2012;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3855;
2011/2012;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;601;
2011/2012;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;10128;
2011/2012;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7251;
2011/2012;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23657;
2011/2012;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6137;
2011/2012;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4275;
2011/2012;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4550;
2011/2012;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;10292;
2011/2012;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21337;
