AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2018/2019;Roma UNINETTUNO - telematica;5813;F;5271
2018/2019;Roma UNINETTUNO - telematica;5813;M;7916
2018/2019;Roma UNINT;5809;F;1203
2018/2019;Roma UNINT;5809;M;333
2018/2019;Roma UNITELMA - telematica;5811;F;833
2018/2019;Roma UNITELMA - telematica;5811;M;915
2018/2019;Rozzano (MI) Humanitas University;1510;F;611
2018/2019;Rozzano (MI) Humanitas University;1510;M;339
2018/2019;Salento;7501;F;10577
2018/2019;Salento;7501;M;6433
2018/2019;Salerno;6501;F;19918
2018/2019;Salerno;6501;M;15428
2018/2019;Sannio;6201;F;2389
2018/2019;Sannio;6201;M;2245
2018/2019;Sassari;9001;F;8349
2018/2019;Sassari;9001;M;4891
2018/2019;Siena;5201;F;9266
2018/2019;Siena;5201;M;6419
2018/2019;Siena Stranieri;5202;F;1769
2018/2019;Siena Stranieri;5202;M;386
2018/2019;Teramo;6701;F;3125
2018/2019;Teramo;6701;M;2397
2018/2019;Torino;101;F;44590
2018/2019;Torino;101;M;28282
2018/2019;Torino Politecnico;102;F;9192
2018/2019;Torino Politecnico;102;M;23312
2018/2019;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;F;41
2018/2019;Torrevecchia Teatina Leonardo da Vinci - telematica;6902;M;31
2018/2019;Trento;2201;F;8369
2018/2019;Trento;2201;M;8150
2018/2019;Trieste;3201;F;8646
2018/2019;Trieste;3201;M;6685
2018/2019;Tuscia;5601;F;3869
2018/2019;Tuscia;5601;M;3913
2018/2019;Udine;3001;F;7740
2018/2019;Udine;3001;M;7114
2018/2019;Urbino;4101;F;8836
2018/2019;Urbino;4101;M;5409
2018/2019;Venezia Cà Foscari;2701;F;13361
2018/2019;Venezia Cà Foscari;2701;M;7430
2018/2019;Venezia Iuav;2702;F;2151
2018/2019;Venezia Iuav;2702;M;1817
2018/2019;Verona;2301;F;14617
2018/2019;Verona;2301;M;8123
2017/2018;Aosta;701;F;749
2017/2018;Aosta;701;M;301
2017/2018;Bari;7201;F;27062
2017/2018;Bari;7201;M;16232
2017/2018;Bari Politecnico;7202;F;3044
2017/2018;Bari Politecnico;7202;M;6713
2017/2018;Basilicata;7601;F;3769
2017/2018;Basilicata;7601;M;2814
2017/2018;Benevento Giustino Fortunato - telematica;6202;F;281
2017/2018;Benevento Giustino Fortunato - telematica;6202;M;542
2017/2018;Bergamo;1601;F;11140
2017/2018;Bergamo;1601;M;6952
2017/2018;Bologna;3701;F;44118
2017/2018;Bologna;3701;M;35401
2017/2018;Bolzano;2101;F;2501
2017/2018;Bolzano;2101;M;1180
2017/2018;Bra Scienze Gastronomiche;401;F;161
2017/2018;Bra Scienze Gastronomiche;401;M;179
2017/2018;Brescia;1701;F;6407
2017/2018;Brescia;1701;M;7564
2017/2018;Cagliari;9201;F;14775
2017/2018;Cagliari;9201;M;10386
2017/2018;Calabria;7801;F;15089
2017/2018;Calabria;7801;M;10961
2017/2018;Camerino;4302;F;3399
2017/2018;Camerino;4302;M;3386
2017/2018;Casamassima - G.Degennaro;7203;F;603
2017/2018;Casamassima - G.Degennaro;7203;M;950
2017/2018;Cassino;6001;F;3883
2017/2018;Cassino;6001;M;3347
2017/2018;Castellanza LIUC;1201;F;745
2017/2018;Castellanza LIUC;1201;M;1364
2017/2018;Catania;8701;F;24005
2017/2018;Catania;8701;M;17350
2017/2018;Catanzaro;7901;F;6443
